ID,商家名稱,省,地址,商家類型,設備類型,累計租借數,累計歸還數,入駐時間,点位,経度,緯度,週一營業時間,週二營業時間,週三營業時間,週四營業時間,週五營業時間,週六營業時間,週日營業時間,新商家類型(python 字典)(子榕),離捷運/火車站距離(抓api爬下來)(恩嘉),是否內用(有就當賺到),座位數(有就當賺到),"google, fb 評價(爬蟲)(恩嘉)",loc,mrt,mrt 中文,time
17890,壹咖啡(文山忠順店),臺北市,台北市文山區忠順街一段101號,餐飲美食,,17,22,2020/1/6 13:43,显示,121.5591146,24.9841564,"08:00:00,21:00:00","08:00:00,21:00:00","08:00:00,21:00:00","08:00:00,21:00:00","08:00:00,21:00:00","08:00:00,21:00:00","08:00:00,21:00:00",,,,,3.9,"(24.9841564, 121.5591146)",Dapinglin Station,大坪林站,1800
21827,三川食事屋,,台北市大安區延吉街157-1號,餐飲美食,,1,1,2020/1/5 23:32,显示,0,0,"11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00",,,,,4.3,"(0.0, 0.0)",Sun Yat-Sen Memorial Hall Station,國父紀念館站,240
21824,螢火蟲居酒屋142,,台北市大安區大安路一段16巷10弄2號,餐飲美食,,0,0,2020/1/5 23:12,显示,0,0,"18:00:00,23:59:59","18:00:00,23:59:59","18:00:00,23:59:59","18:00:00,23:59:59","18:00:00,23:59:59","18:00:00,23:59:59","18:00:00,23:59:59",,,,,4.6,"(0.0, 0.0)",Zhongxiao Fuxing Station,捷運忠孝復興站,300
21818,原火鍋,,台北市松山區南京東路五段66巷18號,餐飲美食,,1,1,2020/1/5 0:13,显示,0,0,"11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00","11:30:00,22:00:00",,,,,4.8,"(0.0, 0.0)",Nanjing Sanmin Station,南京三民站,300
10672,台北花市,臺北市,台北市內湖區新湖三路28號,賣場與商店,3.0 Android 竖屏20口,111,90,2020/1/2 16:49,显示,121.5741724,25.0631665,"04:00:00,12:00:00","04:00:00,12:00:00","04:00:00,12:00:00","04:00:00,12:00:00","04:00:00,12:00:00","04:00:00,12:00:00","04:00:00,12:00:00",,,,,4.3,"(25.0631665, 121.57417240000002)",Wende Station,文德站,2100
21759,蒔楓洗鞋,,台北市士林區文林路762-1號,生活服務,,0,0,2019/12/31 2:50,显示,0,0,"12:30:00,21:00:00","12:30:00,21:00:00","12:30:00,21:00:00","12:30:00,21:00:00","12:30:00,21:00:00","12:30:00,21:00:00","12:30:00,21:00:00",,,,,4.6,"(0.0, 0.0)",Zhishan Station,芝山站,300
21758,長疆羊肉爐 北投店,,台北市北投區西安街二段209號,餐飲美食,,0,0,2019/12/31 2:42,显示,0,0,"04:00:00,23:59:59","04:00:00,23:59:59","04:00:00,23:59:59","04:00:00,23:59:59","04:00:00,23:59:59","04:00:00,23:59:59","04:00:00,23:59:59",,,,,4.2,"(0.0, 0.0)",Qili-An,唭哩岸站,240
21757,聚星音樂會館,,台北市士林區延平北路七段126號,餐飲美食,,0,0,2019/12/31 2:35,显示,0,0,"14:00:00,02:00:00","14:00:00,02:00:00","14:00:00,02:00:00","14:00:00,02:00:00","14:00:00,02:00:00","14:00:00,02:00:00","14:00:00,02:00:00",,,,,4.3,"(0.0, 0.0)",,,
21755,加寶多 寧安店,,台北市松山區寧安街7巷7號,餐飲美食,,0,0,2019/12/31 2:21,显示,0,0,"05:30:00,12:40:00","05:30:00,12:40:00","05:30:00,12:40:00","05:30:00,12:40:00","05:30:00,12:40:00","05:30:00,12:40:00","05:30:00,12:40:00",,,,,4.1,"(0.0, 0.0)",Taipei Arena Station,台北小巨蛋站,300
21754,三姊妹麵食館,,台北市大同區延平北路四段56號,餐飲美食,,0,0,2019/12/31 2:10,显示,0,0,"11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00",,,,,4.6,"(0.0, 0.0)",Yuanshan Station,捷運圓山站,780
21753,USAY,,台北市大安區永康街2巷2號,生活服務,,0,0,2019/12/31 1:59,显示,0,0,"11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00","11:00:00,22:00:00",,,,,5,"(0.0, 0.0)",,,
21750,毛旅寵物旅館,,台北市中山區長安東路二段232號,旅館住宿,,0,0,2019/12/31 0:26,显示,0,0,"10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00",,,,,5,"(0.0, 0.0)",Nanjing Fuxing Station,捷運南京復興站,360
21749,毛日子寵物精品概念店,,台北市中山區遼寧街45巷36號,生活服務,,0,0,2019/12/31 0:23,显示,0,0,"10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00","10:30:00,20:30:00",,,,,5,"(0.0, 0.0)",Nanjing Fuxing Station,捷運南京復興站,300
21744,雞湯麵線,,台北市松山區延吉街8-1號,餐飲美食,,0,0,2019/12/30 13:44,显示,0,0,"07:30:00,21:30:00","07:30:00,21:30:00","07:30:00,21:30:00","07:30:00,21:30:00","07:30:00,21:30:00","07:30:00,21:30:00","07:30:00,21:30:00",,,,,4.4,"(0.0, 0.0)",Taipei Arena Station,台北小巨蛋站,420
21743,雲通訊,,台北市松山區八德路3段142號,生活服務,,0,0,2019/12/30 13:41,显示,0,0,"12:00:00,21:30:00","12:00:00,21:30:00","12:00:00,21:30:00","12:00:00,21:30:00","12:00:00,21:30:00","12:00:00,21:30:00","12:00:00,21:30:00",,,,,5,"(0.0, 0.0)",Taipei Arena Station,台北小巨蛋站,420
21691,泓源水產-痛風小棧,臺北市,台北市士林區至善路二段280號,餐飲美食,,1,1,2019/12/30 4:50,显示,121.5484925,25.1023554,"11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00","11:00:00,23:00:00",,,,,4.1,"(25.102355399999997, 121.54849250000001)",Shilin Station,士林站,2160
21686,Lucky Strike,,台北市文山區羅斯福路六段223號,餐飲美食,,1,1,2019/12/30 4:46,显示,0,0,"19:00:00,23:59:00","19:00:00,23:59:00","19:00:00,23:59:00","19:00:00,23:59:00","19:00:00,23:59:00","19:00:00,23:59:00","19:00:00,23:59:00",,,,,4.6,"(0.0, 0.0)",Jingmei Station,景美站,240
21683,WeClassic 唯典客,,台北市大安區光復南路420巷10號,餐飲美食,,1,1,2019/12/30 2:08,显示,0,0,"11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00","11:00:00,21:00:00",,,,,4.6,"(0.0, 0.0)",Xinyi Anhe Station,信義安和站,480
21637,美儷娃百貨館,,台北市士林區大東路15-33號,賣場與商店,,0,0,2019/12/28 23:23,显示,0,0,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,5,"(0.0, 0.0)",Jiantan Station,劍潭站,420
